trat,linha,coluna,resp
A,1,1,4.5
F,1,2,1.8
C,1,3,3.0
B,1,4,3.8
G,1,5,1.8
E,1,6,2.0
D,1,7,2.0
G,2,1,1.2
E,2,2,2.1
B,2,3,4.9
A,2,4,4.3
F,2,5,2.2
D,2,6,2.1
C,2,7,3.1
D,3,1,1.3
B,3,2,2.4
F,3,3,0.8
E,3,4,2.6
C,3,5,2.0
A,3,6,4.0
G,3,7,1.4
B,4,1,4.3
G,4,2,0.8
D,4,3,2.2
C,4,4,3.8
A,4,5,3.8
F,4,6,1.7
E,4,7,1.5
E,5,1,1.0
C,5,2,2.4
G,5,3,0.6
F,5,4,1.0
D,5,5,1.6
B,5,6,4.0
A,5,7,5.0
F,6,1,1.0
D,6,2,2.4
A,6,3,4.6
G,6,4,1.6
E,6,5,2.3
C,6,6,2.9
B,6,7,2.6
C,7,1,2.4
A,7,2,4.6
E,7,3,1.8
D,7,4,2.4
B,7,5,3.2
G,7,6,1.0
F,7,7,1.3
