periodo,nivel,bloco,est21,est21Ad
0-7DAE,2,1,24.37,32.5
0-7DAE,2,2,23.52,32.1
0-7DAE,2,3,24.17,30.3
0-7DAE,2,4,26.72,29.8
0-7DAE,4,1,24.68,
0-7DAE,4,2,23.30,
0-7DAE,4,3,28.43,
0-7DAE,4,4,22.93,
0-7DAE,6,1,23.98,
0-7DAE,6,2,21.05,
0-7DAE,6,3,24.02,
0-7DAE,6,4,21.47,
0-7DAE,8,1,23.03,
0-7DAE,8,2,22.02,
0-7DAE,8,3,21.60,
0-7DAE,8,4,19.55,
0-14DAE,2,1,20.10,
0-14DAE,2,2,24.80,
0-14DAE,2,3,27.25,
0-14DAE,2,4,28.57,
0-14DAE,4,1,22.98,
0-14DAE,4,2,19.27,
0-14DAE,4,3,25.30,
0-14DAE,4,4,24.53,
0-14DAE,6,1,16.55,
0-14DAE,6,2,23.25,
0-14DAE,6,3,20.85,
0-14DAE,6,4,18.97,
0-14DAE,8,1,15.27,
0-14DAE,8,2,16.23,
0-14DAE,8,3,17.12,
0-14DAE,8,4,18.72,
0-21DAE,2,1,22.08,
0-21DAE,2,2,18.33,
0-21DAE,2,3,22.22,
0-21DAE,2,4,26.03,
0-21DAE,4,1,14.35,
0-21DAE,4,2,21.47,
0-21DAE,4,3,20.90,
0-21DAE,4,4,17.75,
0-21DAE,6,1,16.05,
0-21DAE,6,2,17.57,
0-21DAE,6,3,19.63,
0-21DAE,6,4,13.42,
0-21DAE,8,1,4.63,
0-21DAE,8,2,13.55,
0-21DAE,8,3,13.82,
0-21DAE,8,4,7.02,
7-14DAE,2,1,27.38,
7-14DAE,2,2,28.87,
7-14DAE,2,3,24.62,
7-14DAE,2,4,30.67,
7-14DAE,4,1,27.85,
7-14DAE,4,2,25.42,
7-14DAE,4,3,26.47,
7-14DAE,4,4,28.32,
7-14DAE,6,1,23.65,
7-14DAE,6,2,26.77,
7-14DAE,6,3,28.72,
7-14DAE,6,4,25.70,
7-14DAE,8,1,25.03,
7-14DAE,8,2,24.57,
7-14DAE,8,3,21.80,
7-14DAE,8,4,28.57,
7-21DAE,2,1,26.05,
7-21DAE,2,2,21.80,
7-21DAE,2,3,24.30,
7-21DAE,2,4,31.33,
7-21DAE,4,1,28.13,
7-21DAE,4,2,28.90,
7-21DAE,4,3,26.22,
7-21DAE,4,4,28.47,
7-21DAE,6,1,25.73,
7-21DAE,6,2,28.58,
7-21DAE,6,3,24.62,
7-21DAE,6,4,22.18,
7-21DAE,8,1,27.02,
7-21DAE,8,2,21.53,
7-21DAE,8,3,21.80,
7-21DAE,8,4,25.15,
