cobertura,prof,rep,pH
T1,1,1,5.9
T1,1,2,5.6
T1,1,3,5.6
T1,1,4,5.7
T1,2,1,5.8
T1,2,2,5.6
T1,2,3,5.6
T1,2,4,5.5
T2,1,1,5.6
T2,1,2,5.5
T2,1,3,5.4
T2,1,4,5.3
T2,2,1,5.3
T2,2,2,5.4
T2,2,3,5.3
T2,2,4,5.2
T3,1,1,5.1
T3,1,2,5.3
T3,1,3,5.4
T3,1,4,5.2
T3,2,1,5.2
T3,2,2,5.3
T3,2,3,5.3
T3,2,4,5.4
T4,1,1,5.3
T4,1,2,5.3
T4,1,3,5.2
T4,1,4,5.4
T4,2,1,5.2
T4,2,2,5.2
T4,2,3,5.1
T4,2,4,5.2
T5,1,1,5.0
T5,1,2,4.9
T5,1,3,5.0
T5,1,4,5.1
T5,2,1,5.1
T5,2,2,4.8
T5,2,3,4.9
T5,2,4,4.9
T6,1,1,5.4
T6,1,2,5.8
T6,1,3,5.7
T6,1,4,5.9
T6,2,1,5.4
T6,2,2,5.5
T6,2,3,5.6
T6,2,4,5.6
